date,1. open,2. high,3. low,4. close,5. volume
2024-08-29 19:00:00,230.05,230.32,229.95,230.29,26101.0
2024-08-29 18:00:00,230.26,230.35,229.79,230.0,56900.0
2024-08-29 17:00:00,230.21,230.35,159.57,230.31,370871.0
2024-08-29 16:00:00,229.83,230.28,229.3,230.259,11059542.0
2024-08-29 15:00:00,230.43,230.78,229.33,229.83,6870026.0
2024-08-29 14:00:00,231.75,231.75,229.85,230.45,4884563.0
2024-08-29 13:00:00,232.53,232.58,231.34,231.74,3802664.0
2024-08-29 12:00:00,231.67,232.71,231.6,232.54,4906789.0
2024-08-29 11:00:00,232.34,232.92,231.49,231.68,5168679.0
2024-08-29 10:00:00,231.58,232.725,230.31,232.37,8214967.0
2024-08-29 09:00:00,230.35,231.66,225.64,231.57,10334503.0
2024-08-29 08:00:00,229.95,230.6,226.49,230.32,556393.0
2024-08-29 07:00:00,229.18,230.45,229.11,229.98,264331.0
2024-08-29 06:00:00,229.31,229.8,228.9,229.25,59967.0
2024-08-29 05:00:00,228.75,229.39,228.58,229.21,77829.0
2024-08-29 04:00:00,226.9,228.81,226.62,228.76,65851.0
