date,1. open,2. high,3. low,4. close,5. volume
2024-07-19 19:00:00,224.301,226.6,224.18,224.181,18008.0
2024-07-19 18:00:00,224.35,226.38,223.26,224.3,145400.0
2024-07-19 17:00:00,224.46,225.31,224.31,224.331,857309.0
2024-07-19 16:00:00,224.33,224.63,224.134,224.461,12711558.0
2024-07-19 15:00:00,224.45,225.12,224.01,224.33,7448044.0
2024-07-19 14:00:00,224.6,224.945,223.89,224.44,3221792.0
2024-07-19 13:00:00,223.97,224.782,223.47,224.61,3120084.0
2024-07-19 12:00:00,224.97,224.99,223.275,223.99,3853144.0
2024-07-19 11:00:00,224.81,225.26,223.56,224.99,6046776.0
2024-07-19 10:00:00,225.81,226.8,224.62,224.8,6506610.0
2024-07-19 09:00:00,226.328,230.265,222.91,225.825,9833375.0
2024-07-19 08:00:00,225.1,226.4,221.91,226.29,679459.0
2024-07-19 07:00:00,225.03,226.25,224.91,225.9,89740.0
2024-07-19 06:00:00,224.74,225.68,224.66,225.1,61559.0
2024-07-19 05:00:00,223.11,224.95,222.9,224.8,78154.0
2024-07-19 04:00:00,224.87,224.87,221.92,223.02,91090.0
